COVID19 статистике,2020-03-20
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,54.0
2,Град Ниш,27.0
3,Ваљево,18.0
4,Ћуприја,8.0
5,Кикинда,6.0
6,Чачак,4.0
6,Нови Сад ,4.0
8,Ужице,2.0
8,Панчево,2.0
10,Горњи Милановац,1.0
10,Велико Градиште,1.0
10,Зрењанин,1.0
10,Темерин,1.0
10,Свилајнац,1.0
10,Крагујевац,1.0
10,Бачка Топола,1.0
10,Сремски Карловци,1.0
10,Врање,1.0
10,Аранђеловац,1.0
20,Власотинце,0.0
20,Врњачка Бања,0.0
20,Гаџин Хан,0.0
20,Голубац,0.0
20,Деспотовац,0.0
20,Димитровград,0.0
20,Дољевац,0.0
20,Жабари,0.0
20,Жагубица,0.0
20,Житорађа,0.0
20,Зајечар,0.0
20,Ивањица,0.0
20,Кладово,0.0
20,Кнић,0.0
20,Књажевац,0.0
20,Косјерић,0.0
20,Коцељева,0.0
20,Краљево,0.0
20,Крупањ,0.0
20,Крушевац,0.0
20,Куршумлија,0.0
20,Кучево,0.0
20,Лајковац,0.0
20,Лебане,0.0
20,Лесковац ,0.0
20,Лозница,0.0
20,Лучани,0.0
20,Љиг,0.0
20,Љубовија,0.0
20,Мајданпек,0.0
20,Мали Зворник,0.0
20,Мало Црниће,0.0
20,Медвеђа,0.0
20,Мерошина,0.0
20,Мионица,0.0
20,Неготин,0.0
20,Нова Варош,0.0
20,Нови Пазар,0.0
20,Осечина,0.0
20,Параћин,0.0
20,Петровац на Млави,0.0
20,Пирот,0.0
20,Пожаревац,0.0
20,Пожега,0.0
20,Прешево,0.0
20,Прибој,0.0
20,Пријепоље,0.0
20,Прокупље,0.0
20,Ражањ,0.0
20,Рача,0.0
20,Рашка,0.0
20,Рековац,0.0
20,Јагодина,0.0
20,Сврљиг,0.0
20,Сјеница,0.0
20,Смедерево,0.0
20,Смедеревска Паланка,0.0
20,Сокобања,0.0
20,Сурдулица,0.0
20,Топола,0.0
20,Трговиште,0.0
20,Трстеник,0.0
20,Тутин,0.0
20,Ћићевац,0.0
20,Уб,0.0
20,Црна Трава,0.0
20,Чајетина,0.0
20,Шабац,0.0
20,Лапово,0.0
20,Костолац,0.0
20,Врањска Бања,0.0
20,Севојно,0.0
20,Ада,0.0
20,Алибунар,0.0
20,Апатин,0.0
20,Бач,0.0
20,Бачка Паланка,0.0
20,Бачки Петровац,0.0
20,Бела Црква,0.0
20,Беочин,0.0
20,Бечеј,0.0
20,Вршац,0.0
20,Жабаљ,0.0
20,Житиште,0.0
20,Инђија,0.0
20,Ириг,0.0
20,Кањижа,0.0
20,Ковачица,0.0
20,Ковин,0.0
20,Кула,0.0
20,Мали Иђош,0.0
20,Нова Црња,0.0
20,Нови Бечеј,0.0
20,Нови Кнежевац,0.0
20,Опово,0.0
20,Оџаци,0.0
20,Пећинци,0.0
20,Пландиште,0.0
20,Рума,0.0
20,Сента,0.0
20,Сечањ,0.0
20,Сомбор,0.0
20,Србобран,0.0
20,Сремска Митровица,0.0
20,Стара Пазова,0.0
20,Суботица,0.0
20,Тител,0.0
20,Врбас,0.0
20,Чока,0.0
20,Шид,0.0
20,Петроварадин,0.0
20,Витина,0.0
20,Вучитрн,0.0
20,Глоговац,0.0
20,Гњилане,0.0
20,Дечани,0.0
20,Ђаковица,0.0
20,Зубин Поток,0.0
20,Исток,0.0
20,Качаник,0.0
20,Клина,0.0
20,Косово Поље,0.0
20,Косовска Каменица,0.0
20,Лепосавић,0.0
20,Липљан,0.0
20,Ново Брдо,0.0
20,Обилић,0.0
20,Ораховац,0.0
20,Пећ,0.0
20,Подујево,0.0
20,Призрен,0.0
20,Приштина,0.0
20,Србица,0.0
20,Сува Река,0.0
20,Косовска Митровица,0.0
20,Урошевац,0.0
20,Штимље,0.0
20,Штрпце,0.0
20,Гора,0.0
20,Александровац,0.0
20,Звечан,0.0
20,Алексинац,0.0
20,Ариље,0.0
20,Бабушница,0.0
20,Бајина Башта,0.0
20,Баточина,0.0
20,Бела Паланка,0.0
20,Блаце,0.0
20,Богатић,0.0
20,Бојник,0.0
20,Бољевац,0.0
20,Бор,0.0
20,Босилеград,0.0
20,Брус,0.0
20,Бујановац,0.0
20,Варварин,0.0
20,Велика Плана,0.0
20,Владимирци,0.0
20,Владичин Хан,0.0
