COVID19 статистике,2020-03-24
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,127.0
2,Ваљево,41.0
3,Град Ниш,35.0
4,Нови Сад ,15.0
5,Ћуприја,13.0
6,Крушевац,10.0
6,Чачак,10.0
8,Крагујевац,8.0
9,Кикинда,6.0
10,Врање,4.0
11,Ужице,3.0
11,Аранђеловац,3.0
11,Зрењанин,3.0
14,Зајечар,2.0
14,Лучани,2.0
14,Панчево,2.0
17,Сремски Карловци,1.0
17,Стара Пазова,1.0
17,Темерин,1.0
17,Суботица,1.0
17,Лесковац ,1.0
17,Велико Градиште,1.0
17,Пожаревац,1.0
17,Горњи Милановац,1.0
17,Бела Паланка,1.0
17,Димитровград,1.0
17,Краљево,1.0
17,Свилајнац,1.0
17,Врњачка Бања,1.0
17,Сјеница,1.0
17,Велика Плана,1.0
17,Параћин,1.0
17,Сомбор,1.0
17,Бачка Топола,1.0
17,Сремска Митровица,1.0
36,Лебане,0.0
36,Лозница,0.0
36,Љиг,0.0
36,Љубовија,0.0
36,Мајданпек,0.0
36,Мали Зворник,0.0
36,Мало Црниће,0.0
36,Медвеђа,0.0
36,Мерошина,0.0
36,Мионица,0.0
36,Неготин,0.0
36,Нова Варош,0.0
36,Нови Пазар,0.0
36,Осечина,0.0
36,Петровац на Млави,0.0
36,Пирот,0.0
36,Пожега,0.0
36,Прешево,0.0
36,Прибој,0.0
36,Пријепоље,0.0
36,Прокупље,0.0
36,Ражањ,0.0
36,Рача,0.0
36,Рашка,0.0
36,Рековац,0.0
36,Јагодина,0.0
36,Сврљиг,0.0
36,Смедерево,0.0
36,Смедеревска Паланка,0.0
36,Сокобања,0.0
36,Сурдулица,0.0
36,Топола,0.0
36,Трговиште,0.0
36,Трстеник,0.0
36,Тутин,0.0
36,Ћићевац,0.0
36,Уб,0.0
36,Црна Трава,0.0
36,Чајетина,0.0
36,Шабац,0.0
36,Лапово,0.0
36,Костолац,0.0
36,Врањска Бања,0.0
36,Севојно,0.0
36,Ада,0.0
36,Алибунар,0.0
36,Апатин,0.0
36,Бач,0.0
36,Бачка Паланка,0.0
36,Бачки Петровац,0.0
36,Бела Црква,0.0
36,Беочин,0.0
36,Бечеј,0.0
36,Вршац,0.0
36,Жабаљ,0.0
36,Житиште,0.0
36,Инђија,0.0
36,Ириг,0.0
36,Кањижа,0.0
36,Ковачица,0.0
36,Ковин,0.0
36,Кула,0.0
36,Мали Иђош,0.0
36,Нова Црња,0.0
36,Нови Бечеј,0.0
36,Нови Кнежевац,0.0
36,Опово,0.0
36,Оџаци,0.0
36,Пећинци,0.0
36,Пландиште,0.0
36,Рума,0.0
36,Сента,0.0
36,Сечањ,0.0
36,Србобран,0.0
36,Тител,0.0
36,Врбас,0.0
36,Чока,0.0
36,Шид,0.0
36,Петроварадин,0.0
36,Витина,0.0
36,Вучитрн,0.0
36,Глоговац,0.0
36,Гњилане,0.0
36,Дечани,0.0
36,Ђаковица,0.0
36,Зубин Поток,0.0
36,Исток,0.0
36,Качаник,0.0
36,Клина,0.0
36,Косово Поље,0.0
36,Косовска Каменица,0.0
36,Лепосавић,0.0
36,Липљан,0.0
36,Ново Брдо,0.0
36,Обилић,0.0
36,Ораховац,0.0
36,Пећ,0.0
36,Подујево,0.0
36,Призрен,0.0
36,Приштина,0.0
36,Србица,0.0
36,Сува Река,0.0
36,Косовска Митровица,0.0
36,Урошевац,0.0
36,Штимље,0.0
36,Штрпце,0.0
36,Гора,0.0
36,Александровац,0.0
36,Звечан,0.0
36,Алексинац,0.0
36,Ариље,0.0
36,Бабушница,0.0
36,Бајина Башта,0.0
36,Баточина,0.0
36,Блаце,0.0
36,Богатић,0.0
36,Бојник,0.0
36,Бољевац,0.0
36,Бор,0.0
36,Босилеград,0.0
36,Брус,0.0
36,Бујановац,0.0
36,Варварин,0.0
36,Владимирци,0.0
36,Владичин Хан,0.0
36,Власотинце,0.0
36,Гаџин Хан,0.0
36,Голубац,0.0
36,Деспотовац,0.0
36,Дољевац,0.0
36,Жабари,0.0
36,Жагубица,0.0
36,Житорађа,0.0
36,Ивањица,0.0
36,Кладово,0.0
36,Кнић,0.0
36,Књажевац,0.0
36,Косјерић,0.0
36,Коцељева,0.0
36,Крупањ,0.0
36,Куршумлија,0.0
36,Кучево,0.0
36,Лајковац,0.0
