COVID19 статистике,2020-03-26
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,218.0
2,Ваљево,47.0
3,Град Ниш,37.0
4,Ћуприја,32.0
5,Нови Сад ,16.0
6,Чачак,15.0
7,Крагујевац,12.0
7,Крушевац,12.0
9,Пожаревац,8.0
10,Кикинда,7.0
11,Врање,6.0
12,Ужице,4.0
13,Зрењанин,3.0
13,Аранђеловац,3.0
13,Рашка,3.0
13,Лесковац ,3.0
13,Пирот,3.0
18,Сјеница,2.0
18,Лучани,2.0
18,Панчево,2.0
18,Краљево,2.0
18,Зајечар,2.0
23,Сомбор,1.0
23,Сремска Митровица,1.0
23,Сремски Карловци,1.0
23,Стара Пазова,1.0
23,Суботица,1.0
23,Темерин,1.0
23,Свилајнац,1.0
23,Бачка Топола,1.0
23,Смедерево,1.0
23,Врњачка Бања,1.0
23,Сурдулица,1.0
23,Велика Плана,1.0
23,Трстеник,1.0
23,Параћин,1.0
23,Велико Градиште,1.0
23,Горњи Милановац,1.0
23,Бела Паланка,1.0
23,Димитровград,1.0
41,Мали Зворник,0.0
41,Мало Црниће,0.0
41,Медвеђа,0.0
41,Мерошина,0.0
41,Мионица,0.0
41,Неготин,0.0
41,Нова Варош,0.0
41,Нови Пазар,0.0
41,Осечина,0.0
41,Петровац на Млави,0.0
41,Пожега,0.0
41,Прешево,0.0
41,Прибој,0.0
41,Пријепоље,0.0
41,Прокупље,0.0
41,Ражањ,0.0
41,Рача,0.0
41,Рековац,0.0
41,Јагодина,0.0
41,Сврљиг,0.0
41,Смедеревска Паланка,0.0
41,Сокобања,0.0
41,Топола,0.0
41,Трговиште,0.0
41,Тутин,0.0
41,Ћићевац,0.0
41,Уб,0.0
41,Црна Трава,0.0
41,Чајетина,0.0
41,Шабац,0.0
41,Лапово,0.0
41,Костолац,0.0
41,Врањска Бања,0.0
41,Севојно,0.0
41,Ада,0.0
41,Алибунар,0.0
41,Апатин,0.0
41,Бач,0.0
41,Бачка Паланка,0.0
41,Бачки Петровац,0.0
41,Бела Црква,0.0
41,Беочин,0.0
41,Бечеј,0.0
41,Вршац,0.0
41,Жабаљ,0.0
41,Житиште,0.0
41,Инђија,0.0
41,Ириг,0.0
41,Кањижа,0.0
41,Ковачица,0.0
41,Ковин,0.0
41,Кула,0.0
41,Мали Иђош,0.0
41,Нова Црња,0.0
41,Нови Бечеј,0.0
41,Нови Кнежевац,0.0
41,Опово,0.0
41,Оџаци,0.0
41,Пећинци,0.0
41,Пландиште,0.0
41,Рума,0.0
41,Сента,0.0
41,Сечањ,0.0
41,Србобран,0.0
41,Тител,0.0
41,Врбас,0.0
41,Чока,0.0
41,Шид,0.0
41,Петроварадин,0.0
41,Витина,0.0
41,Вучитрн,0.0
41,Глоговац,0.0
41,Гњилане,0.0
41,Дечани,0.0
41,Ђаковица,0.0
41,Зубин Поток,0.0
41,Исток,0.0
41,Качаник,0.0
41,Клина,0.0
41,Косово Поље,0.0
41,Косовска Каменица,0.0
41,Лепосавић,0.0
41,Липљан,0.0
41,Ново Брдо,0.0
41,Обилић,0.0
41,Ораховац,0.0
41,Пећ,0.0
41,Подујево,0.0
41,Призрен,0.0
41,Приштина,0.0
41,Србица,0.0
41,Сува Река,0.0
41,Косовска Митровица,0.0
41,Урошевац,0.0
41,Штимље,0.0
41,Штрпце,0.0
41,Гора,0.0
41,Александровац,0.0
41,Звечан,0.0
41,Алексинац,0.0
41,Ариље,0.0
41,Бабушница,0.0
41,Бајина Башта,0.0
41,Баточина,0.0
41,Блаце,0.0
41,Богатић,0.0
41,Бојник,0.0
41,Бољевац,0.0
41,Бор,0.0
41,Босилеград,0.0
41,Брус,0.0
41,Бујановац,0.0
41,Варварин,0.0
41,Владимирци,0.0
41,Владичин Хан,0.0
41,Власотинце,0.0
41,Гаџин Хан,0.0
41,Голубац,0.0
41,Деспотовац,0.0
41,Дољевац,0.0
41,Жабари,0.0
41,Жагубица,0.0
41,Житорађа,0.0
41,Ивањица,0.0
41,Кладово,0.0
41,Кнић,0.0
41,Књажевац,0.0
41,Косјерић,0.0
41,Коцељева,0.0
41,Крупањ,0.0
41,Куршумлија,0.0
41,Кучево,0.0
41,Лајковац,0.0
41,Лебане,0.0
41,Лозница,0.0
41,Љиг,0.0
41,Љубовија,0.0
41,Мајданпек,0.0
