COVID19 статистике,2020-03-23
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,113.0
2,Ваљево,36.0
3,Град Ниш,30.0
4,Чачак,9.0
5,Ћуприја,8.0
6,Крушевац,7.0
7,Нови Сад ,6.0
7,Кикинда,6.0
9,Врање,4.0
10,Ужице,3.0
10,Крагујевац,3.0
12,Панчево,2.0
12,Аранђеловац,2.0
12,Зајечар,2.0
12,Лучани,2.0
16,Зрењанин,1.0
16,Велика Плана,1.0
16,Параћин,1.0
16,Лесковац ,1.0
16,Велико Градиште,1.0
16,Бачка Топола,1.0
16,Сомбор,1.0
16,Свилајнац,1.0
16,Краљево,1.0
16,Сремски Карловци,1.0
16,Горњи Милановац,1.0
16,Бела Паланка,1.0
16,Темерин,1.0
16,Димитровград,1.0
16,Врњачка Бања,1.0
16,Сјеница,1.0
32,Крупањ,0.0
32,Куршумлија,0.0
32,Кучево,0.0
32,Лајковац,0.0
32,Лебане,0.0
32,Лозница,0.0
32,Љиг,0.0
32,Љубовија,0.0
32,Мајданпек,0.0
32,Мали Зворник,0.0
32,Мало Црниће,0.0
32,Медвеђа,0.0
32,Мерошина,0.0
32,Мионица,0.0
32,Неготин,0.0
32,Нова Варош,0.0
32,Нови Пазар,0.0
32,Осечина,0.0
32,Петровац на Млави,0.0
32,Пирот,0.0
32,Пожаревац,0.0
32,Пожега,0.0
32,Прешево,0.0
32,Прибој,0.0
32,Пријепоље,0.0
32,Прокупље,0.0
32,Ражањ,0.0
32,Рача,0.0
32,Рашка,0.0
32,Рековац,0.0
32,Јагодина,0.0
32,Сврљиг,0.0
32,Смедерево,0.0
32,Смедеревска Паланка,0.0
32,Сокобања,0.0
32,Сурдулица,0.0
32,Топола,0.0
32,Трговиште,0.0
32,Трстеник,0.0
32,Тутин,0.0
32,Ћићевац,0.0
32,Уб,0.0
32,Црна Трава,0.0
32,Чајетина,0.0
32,Шабац,0.0
32,Лапово,0.0
32,Костолац,0.0
32,Врањска Бања,0.0
32,Севојно,0.0
32,Ада,0.0
32,Алибунар,0.0
32,Апатин,0.0
32,Бач,0.0
32,Бачка Паланка,0.0
32,Бачки Петровац,0.0
32,Бела Црква,0.0
32,Беочин,0.0
32,Бечеј,0.0
32,Вршац,0.0
32,Жабаљ,0.0
32,Житиште,0.0
32,Инђија,0.0
32,Ириг,0.0
32,Кањижа,0.0
32,Ковачица,0.0
32,Ковин,0.0
32,Кула,0.0
32,Мали Иђош,0.0
32,Нова Црња,0.0
32,Нови Бечеј,0.0
32,Нови Кнежевац,0.0
32,Опово,0.0
32,Оџаци,0.0
32,Пећинци,0.0
32,Пландиште,0.0
32,Рума,0.0
32,Сента,0.0
32,Сечањ,0.0
32,Србобран,0.0
32,Сремска Митровица,0.0
32,Стара Пазова,0.0
32,Суботица,0.0
32,Тител,0.0
32,Врбас,0.0
32,Чока,0.0
32,Шид,0.0
32,Петроварадин,0.0
32,Витина,0.0
32,Вучитрн,0.0
32,Глоговац,0.0
32,Гњилане,0.0
32,Дечани,0.0
32,Ђаковица,0.0
32,Зубин Поток,0.0
32,Исток,0.0
32,Качаник,0.0
32,Клина,0.0
32,Косово Поље,0.0
32,Косовска Каменица,0.0
32,Лепосавић,0.0
32,Липљан,0.0
32,Ново Брдо,0.0
32,Обилић,0.0
32,Ораховац,0.0
32,Пећ,0.0
32,Подујево,0.0
32,Призрен,0.0
32,Приштина,0.0
32,Србица,0.0
32,Сува Река,0.0
32,Косовска Митровица,0.0
32,Урошевац,0.0
32,Штимље,0.0
32,Штрпце,0.0
32,Гора,0.0
32,Александровац,0.0
32,Звечан,0.0
32,Алексинац,0.0
32,Ариље,0.0
32,Бабушница,0.0
32,Бајина Башта,0.0
32,Баточина,0.0
32,Блаце,0.0
32,Богатић,0.0
32,Бојник,0.0
32,Бољевац,0.0
32,Бор,0.0
32,Босилеград,0.0
32,Брус,0.0
32,Бујановац,0.0
32,Варварин,0.0
32,Владимирци,0.0
32,Владичин Хан,0.0
32,Власотинце,0.0
32,Гаџин Хан,0.0
32,Голубац,0.0
32,Деспотовац,0.0
32,Дољевац,0.0
32,Жабари,0.0
32,Жагубица,0.0
32,Житорађа,0.0
32,Ивањица,0.0
32,Кладово,0.0
32,Кнић,0.0
32,Књажевац,0.0
32,Косјерић,0.0
32,Коцељева,0.0
