COVID19 статистике,2020-03-27
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,261.0
2,Град Ниш,47.0
3,Ваљево,45.0
4,Ћуприја,41.0
5,Крагујевац,17.0
5,Крушевац,17.0
7,Врање,13.0
8,Чачак,11.0
9,Нови Сад ,10.0
10,Пожаревац,6.0
10,Кикинда,6.0
10,Пирот,6.0
13,Ужице,5.0
13,Лесковац ,5.0
15,Зрењанин,3.0
15,Алибунар,3.0
17,Зајечар,2.0
17,Панчево,2.0
17,Краљево,2.0
17,Сврљиг,2.0
17,Суботица,2.0
17,Сурдулица,2.0
17,Нови Пазар,2.0
24,Ивањица,1.0
24,Лучани,1.0
24,Јагодина,1.0
24,Владичин Хан,1.0
24,Варварин,1.0
24,Темерин,1.0
24,Шабац,1.0
24,Прокупље,1.0
24,Стара Пазова,1.0
24,Рума,1.0
24,Сремски Карловци,1.0
24,Сремска Митровица,1.0
24,Вршац,1.0
24,Врњачка Бања,1.0
24,Сомбор,1.0
24,Параћин,1.0
24,Кладово,1.0
24,Бачка Топола,1.0
42,Мајданпек,0.0
42,Мали Зворник,0.0
42,Мало Црниће,0.0
42,Медвеђа,0.0
42,Мерошина,0.0
42,Мионица,0.0
42,Неготин,0.0
42,Нова Варош,0.0
42,Осечина,0.0
42,Петровац на Млави,0.0
42,Пожега,0.0
42,Прешево,0.0
42,Прибој,0.0
42,Пријепоље,0.0
42,Ражањ,0.0
42,Рача,0.0
42,Рашка,0.0
42,Рековац,0.0
42,Свилајнац,0.0
42,Сјеница,0.0
42,Смедерево,0.0
42,Смедеревска Паланка,0.0
42,Сокобања,0.0
42,Топола,0.0
42,Трговиште,0.0
42,Трстеник,0.0
42,Тутин,0.0
42,Ћићевац,0.0
42,Уб,0.0
42,Црна Трава,0.0
42,Чајетина,0.0
42,Лапово,0.0
42,Костолац,0.0
42,Врањска Бања,0.0
42,Севојно,0.0
42,Ада,0.0
42,Апатин,0.0
42,Бач,0.0
42,Бачка Паланка,0.0
42,Бачки Петровац,0.0
42,Бела Црква,0.0
42,Беочин,0.0
42,Бечеј,0.0
42,Жабаљ,0.0
42,Житиште,0.0
42,Инђија,0.0
42,Ириг,0.0
42,Кањижа,0.0
42,Ковачица,0.0
42,Ковин,0.0
42,Кула,0.0
42,Мали Иђош,0.0
42,Нова Црња,0.0
42,Нови Бечеј,0.0
42,Нови Кнежевац,0.0
42,Опово,0.0
42,Оџаци,0.0
42,Пећинци,0.0
42,Пландиште,0.0
42,Сента,0.0
42,Сечањ,0.0
42,Србобран,0.0
42,Тител,0.0
42,Врбас,0.0
42,Чока,0.0
42,Шид,0.0
42,Петроварадин,0.0
42,Витина,0.0
42,Вучитрн,0.0
42,Глоговац,0.0
42,Гњилане,0.0
42,Дечани,0.0
42,Ђаковица,0.0
42,Зубин Поток,0.0
42,Исток,0.0
42,Качаник,0.0
42,Клина,0.0
42,Косово Поље,0.0
42,Косовска Каменица,0.0
42,Лепосавић,0.0
42,Липљан,0.0
42,Ново Брдо,0.0
42,Обилић,0.0
42,Ораховац,0.0
42,Пећ,0.0
42,Подујево,0.0
42,Призрен,0.0
42,Приштина,0.0
42,Србица,0.0
42,Сува Река,0.0
42,Косовска Митровица,0.0
42,Урошевац,0.0
42,Штимље,0.0
42,Штрпце,0.0
42,Гора,0.0
42,Александровац,0.0
42,Звечан,0.0
42,Алексинац,0.0
42,Аранђеловац,0.0
42,Ариље,0.0
42,Бабушница,0.0
42,Бајина Башта,0.0
42,Баточина,0.0
42,Бела Паланка,0.0
42,Блаце,0.0
42,Богатић,0.0
42,Бојник,0.0
42,Бољевац,0.0
42,Бор,0.0
42,Босилеград,0.0
42,Брус,0.0
42,Бујановац,0.0
42,Велика Плана,0.0
42,Велико Градиште,0.0
42,Владимирци,0.0
42,Власотинце,0.0
42,Гаџин Хан,0.0
42,Голубац,0.0
42,Горњи Милановац,0.0
42,Деспотовац,0.0
42,Димитровград,0.0
42,Дољевац,0.0
42,Жабари,0.0
42,Жагубица,0.0
42,Житорађа,0.0
42,Кнић,0.0
42,Књажевац,0.0
42,Косјерић,0.0
42,Коцељева,0.0
42,Крупањ,0.0
42,Куршумлија,0.0
42,Кучево,0.0
42,Лајковац,0.0
42,Лебане,0.0
42,Лозница,0.0
42,Љиг,0.0
42,Љубовија,0.0
