COVID19 статистике,2020-03-29
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,352.0
2,Град Ниш,59.0
3,Ваљево,50.0
4,Ћуприја,49.0
5,Крагујевац,21.0
6,Крушевац,20.0
7,Врање,16.0
8,Суботица,15.0
9,Чачак,12.0
10,Нови Сад ,10.0
10,Краљево,10.0
12,Лесковац ,9.0
12,Ужице,9.0
12,Сурдулица,9.0
15,Кула,8.0
16,Пирот,7.0
17,Кикинда,6.0
17,Пожаревац,6.0
19,Аранђеловац,4.0
19,Књажевац,4.0
21,Алибунар,3.0
21,Прокупље,3.0
21,Зрењанин,3.0
21,Параћин,3.0
25,Нови Пазар,2.0
25,Варварин,2.0
25,Шабац,2.0
25,Зајечар,2.0
25,Владичин Хан,2.0
25,Вршац,2.0
25,Куршумлија,2.0
25,Јагодина,2.0
25,Сврљиг,2.0
25,Панчево,2.0
25,Темерин,2.0
25,Бела Паланка,2.0
37,Бачка Топола,1.0
37,Бољевац,1.0
37,Лучани,1.0
37,Врњачка Бања,1.0
37,Димитровград,1.0
37,Гаџин Хан,1.0
37,Смедеревска Паланка,1.0
37,Рума,1.0
37,Кладово,1.0
37,Ивањица,1.0
37,Сомбор,1.0
37,Велико Градиште,1.0
37,Сремска Митровица,1.0
37,Сремски Карловци,1.0
37,Стара Пазова,1.0
37,Велика Плана,1.0
37,Крупањ,1.0
37,Кањижа,1.0
37,Алексинац,1.0
37,Бујановац,1.0
37,Рековац,1.0
37,Уб,1.0
59,Костолац,0.0
59,Врањска Бања,0.0
59,Севојно,0.0
59,Ада,0.0
59,Апатин,0.0
59,Бач,0.0
59,Бачка Паланка,0.0
59,Бачки Петровац,0.0
59,Бела Црква,0.0
59,Беочин,0.0
59,Бечеј,0.0
59,Жабаљ,0.0
59,Житиште,0.0
59,Инђија,0.0
59,Ириг,0.0
59,Ковачица,0.0
59,Ковин,0.0
59,Мали Иђош,0.0
59,Нова Црња,0.0
59,Нови Бечеј,0.0
59,Нови Кнежевац,0.0
59,Опово,0.0
59,Оџаци,0.0
59,Пећинци,0.0
59,Пландиште,0.0
59,Сента,0.0
59,Сечањ,0.0
59,Србобран,0.0
59,Тител,0.0
59,Врбас,0.0
59,Чока,0.0
59,Шид,0.0
59,Александровац,0.0
59,Петроварадин,0.0
59,Ариље,0.0
59,Бабушница,0.0
59,Бајина Башта,0.0
59,Баточина,0.0
59,Блаце,0.0
59,Богатић,0.0
59,Бојник,0.0
59,Бор,0.0
59,Босилеград,0.0
59,Брус,0.0
59,Владимирци,0.0
59,Власотинце,0.0
59,Голубац,0.0
59,Горњи Милановац,0.0
59,Деспотовац,0.0
59,Дољевац,0.0
59,Жабари,0.0
59,Жагубица,0.0
59,Житорађа,0.0
59,Кнић,0.0
59,Косјерић,0.0
59,Коцељева,0.0
59,Кучево,0.0
59,Лајковац,0.0
59,Лебане,0.0
59,Лозница,0.0
59,Љиг,0.0
59,Љубовија,0.0
59,Мајданпек,0.0
59,Мали Зворник,0.0
59,Мало Црниће,0.0
59,Медвеђа,0.0
59,Мерошина,0.0
59,Мионица,0.0
59,Неготин,0.0
59,Нова Варош,0.0
59,Осечина,0.0
59,Петровац на Млави,0.0
59,Пожега,0.0
59,Прешево,0.0
59,Прибој,0.0
59,Пријепоље,0.0
59,Ражањ,0.0
59,Рача,0.0
59,Рашка,0.0
59,Свилајнац,0.0
59,Сјеница,0.0
59,Смедерево,0.0
59,Сокобања,0.0
59,Топола,0.0
59,Трговиште,0.0
59,Трстеник,0.0
59,Тутин,0.0
59,Ћићевац,0.0
59,Црна Трава,0.0
59,Чајетина,0.0
59,Лапово,0.0
