COVID19 статистике,2020-03-19
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,44.0
2,Град Ниш,20.0
3,Ваљево,10.0
4,Кикинда,6.0
5,Ћуприја,5.0
6,Чачак,3.0
6,Нови Сад ,3.0
8,Ужице,2.0
8,Панчево,2.0
10,Врање,1.0
10,Бачка Топола,1.0
10,Аранђеловац,1.0
10,Крагујевац,1.0
10,Свилајнац,1.0
10,Велико Градиште,1.0
10,Темерин,1.0
10,Зрењанин,1.0
18,Владимирци,0.0
18,Владичин Хан,0.0
18,Власотинце,0.0
18,Врњачка Бања,0.0
18,Гаџин Хан,0.0
18,Голубац,0.0
18,Горњи Милановац,0.0
18,Деспотовац,0.0
18,Димитровград,0.0
18,Дољевац,0.0
18,Жабари,0.0
18,Жагубица,0.0
18,Житорађа,0.0
18,Зајечар,0.0
18,Ивањица,0.0
18,Кладово,0.0
18,Кнић,0.0
18,Књажевац,0.0
18,Косјерић,0.0
18,Коцељева,0.0
18,Краљево,0.0
18,Крупањ,0.0
18,Крушевац,0.0
18,Куршумлија,0.0
18,Кучево,0.0
18,Лајковац,0.0
18,Лебане,0.0
18,Лесковац ,0.0
18,Лозница,0.0
18,Лучани,0.0
18,Љиг,0.0
18,Љубовија,0.0
18,Мајданпек,0.0
18,Мали Зворник,0.0
18,Мало Црниће,0.0
18,Медвеђа,0.0
18,Мерошина,0.0
18,Мионица,0.0
18,Неготин,0.0
18,Нова Варош,0.0
18,Нови Пазар,0.0
18,Осечина,0.0
18,Параћин,0.0
18,Петровац на Млави,0.0
18,Пирот,0.0
18,Пожаревац,0.0
18,Пожега,0.0
18,Прешево,0.0
18,Прибој,0.0
18,Пријепоље,0.0
18,Прокупље,0.0
18,Ражањ,0.0
18,Рача,0.0
18,Рашка,0.0
18,Рековац,0.0
18,Јагодина,0.0
18,Сврљиг,0.0
18,Сјеница,0.0
18,Смедерево,0.0
18,Смедеревска Паланка,0.0
18,Сокобања,0.0
18,Сурдулица,0.0
18,Топола,0.0
18,Трговиште,0.0
18,Трстеник,0.0
18,Тутин,0.0
18,Ћићевац,0.0
18,Уб,0.0
18,Црна Трава,0.0
18,Чајетина,0.0
18,Шабац,0.0
18,Лапово,0.0
18,Костолац,0.0
18,Врањска Бања,0.0
18,Севојно,0.0
18,Ада,0.0
18,Алибунар,0.0
18,Апатин,0.0
18,Бач,0.0
18,Бачка Паланка,0.0
18,Бачки Петровац,0.0
18,Бела Црква,0.0
18,Беочин,0.0
18,Бечеј,0.0
18,Вршац,0.0
18,Жабаљ,0.0
18,Житиште,0.0
18,Инђија,0.0
18,Ириг,0.0
18,Кањижа,0.0
18,Ковачица,0.0
18,Ковин,0.0
18,Кула,0.0
18,Мали Иђош,0.0
18,Нова Црња,0.0
18,Нови Бечеј,0.0
18,Нови Кнежевац,0.0
18,Опово,0.0
18,Оџаци,0.0
18,Пећинци,0.0
18,Пландиште,0.0
18,Рума,0.0
18,Сента,0.0
18,Сечањ,0.0
18,Сомбор,0.0
18,Србобран,0.0
18,Сремска Митровица,0.0
18,Сремски Карловци,0.0
18,Стара Пазова,0.0
18,Суботица,0.0
18,Тител,0.0
18,Врбас,0.0
18,Чока,0.0
18,Шид,0.0
18,Петроварадин,0.0
18,Витина,0.0
18,Вучитрн,0.0
18,Глоговац,0.0
18,Гњилане,0.0
18,Дечани,0.0
18,Ђаковица,0.0
18,Зубин Поток,0.0
18,Исток,0.0
18,Качаник,0.0
18,Клина,0.0
18,Косово Поље,0.0
18,Косовска Каменица,0.0
18,Лепосавић,0.0
18,Липљан,0.0
18,Ново Брдо,0.0
18,Обилић,0.0
18,Ораховац,0.0
18,Пећ,0.0
18,Подујево,0.0
18,Призрен,0.0
18,Приштина,0.0
18,Србица,0.0
18,Сува Река,0.0
18,Косовска Митровица,0.0
18,Урошевац,0.0
18,Штимље,0.0
18,Штрпце,0.0
18,Гора,0.0
18,Александровац,0.0
18,Звечан,0.0
18,Алексинац,0.0
18,Ариље,0.0
18,Бабушница,0.0
18,Бајина Башта,0.0
18,Баточина,0.0
18,Бела Паланка,0.0
18,Блаце,0.0
18,Богатић,0.0
18,Бојник,0.0
18,Бољевац,0.0
18,Бор,0.0
18,Босилеград,0.0
18,Брус,0.0
18,Бујановац,0.0
18,Варварин,0.0
18,Велика Плана,0.0
