COVID19 статистике,2020-03-13
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,13.0
2,Град Ниш,10.0
3,Кикинда,4.0
4,Нови Сад ,2.0
4,Панчево,2.0
6,Чачак,1.0
6,Темерин,1.0
6,Зрењанин,1.0
6,Бачка Топола,1.0
10,Богатић,0.0
10,Бојник,0.0
10,Бољевац,0.0
10,Бор,0.0
10,Босилеград,0.0
10,Брус,0.0
10,Бујановац,0.0
10,Ваљево,0.0
10,Варварин,0.0
10,Велика Плана,0.0
10,Велико Градиште,0.0
10,Владимирци,0.0
10,Владичин Хан,0.0
10,Власотинце,0.0
10,Врање,0.0
10,Врњачка Бања,0.0
10,Гаџин Хан,0.0
10,Голубац,0.0
10,Горњи Милановац,0.0
10,Деспотовац,0.0
10,Димитровград,0.0
10,Дољевац,0.0
10,Жабари,0.0
10,Жагубица,0.0
10,Житорађа,0.0
10,Зајечар,0.0
10,Ивањица,0.0
10,Кладово,0.0
10,Кнић,0.0
10,Књажевац,0.0
10,Косјерић,0.0
10,Коцељева,0.0
10,Крагујевац,0.0
10,Краљево,0.0
10,Крупањ,0.0
10,Крушевац,0.0
10,Куршумлија,0.0
10,Кучево,0.0
10,Лајковац,0.0
10,Лебане,0.0
10,Лесковац ,0.0
10,Лозница,0.0
10,Лучани,0.0
10,Љиг,0.0
10,Љубовија,0.0
10,Мајданпек,0.0
10,Мали Зворник,0.0
10,Мало Црниће,0.0
10,Медвеђа,0.0
10,Мерошина,0.0
10,Мионица,0.0
10,Неготин,0.0
10,Нова Варош,0.0
10,Нови Пазар,0.0
10,Осечина,0.0
10,Параћин,0.0
10,Петровац на Млави,0.0
10,Пирот,0.0
10,Пожаревац,0.0
10,Пожега,0.0
10,Прешево,0.0
10,Прибој,0.0
10,Пријепоље,0.0
10,Прокупље,0.0
10,Ражањ,0.0
10,Рача,0.0
10,Рашка,0.0
10,Рековац,0.0
10,Јагодина,0.0
10,Свилајнац,0.0
10,Сврљиг,0.0
10,Сјеница,0.0
10,Смедерево,0.0
10,Смедеревска Паланка,0.0
10,Сокобања,0.0
10,Сурдулица,0.0
10,Ужице,0.0
10,Топола,0.0
10,Трговиште,0.0
10,Трстеник,0.0
10,Тутин,0.0
10,Ћићевац,0.0
10,Ћуприја,0.0
10,Уб,0.0
10,Црна Трава,0.0
10,Чајетина,0.0
10,Шабац,0.0
10,Лапово,0.0
10,Костолац,0.0
10,Врањска Бања,0.0
10,Севојно,0.0
10,Ада,0.0
10,Алибунар,0.0
10,Апатин,0.0
10,Бач,0.0
10,Бачка Паланка,0.0
10,Бачки Петровац,0.0
10,Бела Црква,0.0
10,Беочин,0.0
10,Бечеј,0.0
10,Вршац,0.0
10,Жабаљ,0.0
10,Житиште,0.0
10,Инђија,0.0
10,Ириг,0.0
10,Кањижа,0.0
10,Ковачица,0.0
10,Ковин,0.0
10,Кула,0.0
10,Мали Иђош,0.0
10,Нова Црња,0.0
10,Нови Бечеј,0.0
10,Нови Кнежевац,0.0
10,Опово,0.0
10,Оџаци,0.0
10,Пећинци,0.0
10,Пландиште,0.0
10,Рума,0.0
10,Сента,0.0
10,Сечањ,0.0
10,Сомбор,0.0
10,Србобран,0.0
10,Сремска Митровица,0.0
10,Сремски Карловци,0.0
10,Стара Пазова,0.0
10,Суботица,0.0
10,Тител,0.0
10,Врбас,0.0
10,Чока,0.0
10,Шид,0.0
10,Петроварадин,0.0
10,Витина,0.0
10,Вучитрн,0.0
10,Глоговац,0.0
10,Гњилане,0.0
10,Дечани,0.0
10,Ђаковица,0.0
10,Зубин Поток,0.0
10,Исток,0.0
10,Качаник,0.0
10,Клина,0.0
10,Косово Поље,0.0
10,Косовска Каменица,0.0
10,Лепосавић,0.0
10,Липљан,0.0
10,Ново Брдо,0.0
10,Обилић,0.0
10,Ораховац,0.0
10,Пећ,0.0
10,Подујево,0.0
10,Призрен,0.0
10,Приштина,0.0
10,Србица,0.0
10,Сува Река,0.0
10,Косовска Митровица,0.0
10,Урошевац,0.0
10,Штимље,0.0
10,Штрпце,0.0
10,Гора,0.0
10,Александровац,0.0
10,Звечан,0.0
10,Алексинац,0.0
10,Аранђеловац,0.0
10,Ариље,0.0
10,Бабушница,0.0
10,Бајина Башта,0.0
10,Баточина,0.0
10,Бела Паланка,0.0
10,Блаце,0.0
