COVID19 статистике,2020-03-22
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,98.0
2,Ваљево,32.0
3,Град Ниш,30.0
4,Ћуприја,8.0
5,Крушевац,7.0
6,Чачак,6.0
6,Кикинда,6.0
6,Нови Сад ,6.0
9,Врање,4.0
10,Крагујевац,3.0
10,Ужице,3.0
12,Аранђеловац,2.0
12,Панчево,2.0
12,Зајечар,2.0
15,Велика Плана,1.0
15,Велико Градиште,1.0
15,Свилајнац,1.0
15,Горњи Милановац,1.0
15,Бачка Топола,1.0
15,Димитровград,1.0
15,Лучани,1.0
15,Сомбор,1.0
15,Параћин,1.0
15,Бела Паланка,1.0
15,Сремски Карловци,1.0
15,Зрењанин,1.0
15,Темерин,1.0
28,Кладово,0.0
28,Кнић,0.0
28,Књажевац,0.0
28,Косјерић,0.0
28,Коцељева,0.0
28,Краљево,0.0
28,Крупањ,0.0
28,Куршумлија,0.0
28,Кучево,0.0
28,Лајковац,0.0
28,Лебане,0.0
28,Лесковац ,0.0
28,Лозница,0.0
28,Љиг,0.0
28,Љубовија,0.0
28,Мајданпек,0.0
28,Мали Зворник,0.0
28,Мало Црниће,0.0
28,Медвеђа,0.0
28,Мерошина,0.0
28,Мионица,0.0
28,Неготин,0.0
28,Нова Варош,0.0
28,Нови Пазар,0.0
28,Осечина,0.0
28,Петровац на Млави,0.0
28,Пирот,0.0
28,Пожаревац,0.0
28,Пожега,0.0
28,Прешево,0.0
28,Прибој,0.0
28,Пријепоље,0.0
28,Прокупље,0.0
28,Ражањ,0.0
28,Рача,0.0
28,Рашка,0.0
28,Рековац,0.0
28,Јагодина,0.0
28,Сврљиг,0.0
28,Сјеница,0.0
28,Смедерево,0.0
28,Смедеревска Паланка,0.0
28,Сокобања,0.0
28,Сурдулица,0.0
28,Топола,0.0
28,Трговиште,0.0
28,Трстеник,0.0
28,Тутин,0.0
28,Ћићевац,0.0
28,Уб,0.0
28,Црна Трава,0.0
28,Чајетина,0.0
28,Шабац,0.0
28,Лапово,0.0
28,Костолац,0.0
28,Врањска Бања,0.0
28,Севојно,0.0
28,Ада,0.0
28,Алибунар,0.0
28,Апатин,0.0
28,Бач,0.0
28,Бачка Паланка,0.0
28,Бачки Петровац,0.0
28,Бела Црква,0.0
28,Беочин,0.0
28,Бечеј,0.0
28,Вршац,0.0
28,Жабаљ,0.0
28,Житиште,0.0
28,Инђија,0.0
28,Ириг,0.0
28,Кањижа,0.0
28,Ковачица,0.0
28,Ковин,0.0
28,Кула,0.0
28,Мали Иђош,0.0
28,Нова Црња,0.0
28,Нови Бечеј,0.0
28,Нови Кнежевац,0.0
28,Опово,0.0
28,Оџаци,0.0
28,Пећинци,0.0
28,Пландиште,0.0
28,Рума,0.0
28,Сента,0.0
28,Сечањ,0.0
28,Србобран,0.0
28,Сремска Митровица,0.0
28,Стара Пазова,0.0
28,Суботица,0.0
28,Тител,0.0
28,Врбас,0.0
28,Чока,0.0
28,Шид,0.0
28,Петроварадин,0.0
28,Витина,0.0
28,Вучитрн,0.0
28,Глоговац,0.0
28,Гњилане,0.0
28,Дечани,0.0
28,Ђаковица,0.0
28,Зубин Поток,0.0
28,Исток,0.0
28,Качаник,0.0
28,Клина,0.0
28,Косово Поље,0.0
28,Косовска Каменица,0.0
28,Лепосавић,0.0
28,Липљан,0.0
28,Ново Брдо,0.0
28,Обилић,0.0
28,Ораховац,0.0
28,Пећ,0.0
28,Подујево,0.0
28,Призрен,0.0
28,Приштина,0.0
28,Србица,0.0
28,Сува Река,0.0
28,Косовска Митровица,0.0
28,Урошевац,0.0
28,Штимље,0.0
28,Штрпце,0.0
28,Гора,0.0
28,Александровац,0.0
28,Звечан,0.0
28,Алексинац,0.0
28,Ариље,0.0
28,Бабушница,0.0
28,Бајина Башта,0.0
28,Баточина,0.0
28,Блаце,0.0
28,Богатић,0.0
28,Бојник,0.0
28,Бољевац,0.0
28,Бор,0.0
28,Босилеград,0.0
28,Брус,0.0
28,Бујановац,0.0
28,Варварин,0.0
28,Владимирци,0.0
28,Владичин Хан,0.0
28,Власотинце,0.0
28,Врњачка Бања,0.0
28,Гаџин Хан,0.0
28,Голубац,0.0
28,Деспотовац,0.0
28,Дољевац,0.0
28,Жабари,0.0
28,Жагубица,0.0
28,Житорађа,0.0
28,Ивањица,0.0
